from,to,const,,,,,,,,,,,,
% Hybrid vehicles (GWh / thousand cars),,,,,,,,,,,,,,
kkIDUT,DD11,0.000000169,,,,,,,,,,,,
kkIDWA,DD11,0.000000169,,,,,,,,,,,,
kkIDWY,DD11,8.45E-08,,,,,,,,,,,,
kkIDWY,DD12,8.45E-08,,,,,,,,,,,,
kkILIN,DD01,8.45E-08,,,,,,,,,,,,
kkILIN,DD04,8.45E-08,,,,,,,,,,,,
kkILKY,DD01,8.45E-08,,,,,,,,,,,,
kkILKY,DD04,8.45E-08,,,,,,,,,,,,
kkILMO,DD04,8.45E-08,,,,,,,,,,,,
kkILMO,DD10,8.45E-08,,,,,,,,,,,,
kkILWI,DD04,0.000000169,,,,,,,,,,,,
kkINKY,DD01,0.000000169,,,,,,,,,,,,
kkINMI,DD01,0.000000169,,,,,,,,,,,,
kkINOH,DD01,0.000000169,,,,,,,,,,,,
kkKSMO,DD10,0.000000169,,,,,,,,,,,,
kkKSNE,DD05,8.45E-08,,,,,,,,,,,,
kkKSNE,DD10,8.45E-08,,,,,,,,,,,,
kkKSOK,DD10,0.000000169,,,,,,,,,,,,
kkKYOH,DD01,0.000000169,,,,,,,,,,,,
kkKYTN,DD01,8.45E-08,,,,,,,,,,,,
kkKYTN,DD09,8.45E-08,,,,,,,,,,,,
kkKYWV,DD01,0.000000169,,,,,,,,,,,,
kkLAMS,DD09,8.45E-08,,,,,,,,,,,,
kkLAMS,DD10,8.45E-08,,,,,,,,,,,,
kkLATX,DD02,8.45E-08,,,,,,,,,,,,
kkLATX,DD10,8.45E-08,,,,,,,,,,,,
kkMANH,DD07,0.000000169,,,,,,,,,,,,
kkMANY,DD06,8.45E-08,,,,,,,,,,,,
kkMANY,DD07,8.45E-08,,,,,,,,,,,,
kkMAVT,DD07,0.000000169,,,,,,,,,,,,
kkMDPA,DD01,8.45E-08,,,,,,,,,,,,
kkMDPA,DD03,8.45E-08,,,,,,,,,,,,
kkMDVA,DD01,8.45E-08,,,,,,,,,,,,
kkMDVA,DD09,8.45E-08,,,,,,,,,,,,
kkMDWV,DD01,8.45E-08,,,,,,,,,,,,
kkMENH,DD07,0.000000169,,,,,,,,,,,,
kkMIOH,DD01,0.000000169,,,,,,,,,,,,
kkMIWI,DD01,8.45E-08,,,,,,,,,,,,
kkMIWI,DD04,8.45E-08,,,,,,,,,,,,
kkMNND,DD05,0.000000169,,,,,,,,,,,,
kkMNSD,DD05,0.000000169,,,,,,,,,,,,
kkMNWI,DD04,8.45E-08,,,,,,,,,,,,
kkMNWI,DD05,8.45E-08,,,,,,,,,,,,
kkMOOK,DD10,0.000000169,,,,,,,,,,,,
kkMOTN,DD09,8.45E-08,,,,,,,,,,,,
kkMOTN,DD10,8.45E-08,,,,,,,,,,,,
kkMSTN,DD09,0.000000169,,,,,,,,,,,,
kkMTND,DD05,8.45E-08,,,,,,,,,,,,
kkMTND,DD11,8.45E-08,,,,,,,,,,,,
kkMTWY,DD11,8.45E-08,,,,,,,,,,,,
kkMTWY,DD12,8.45E-08,,,,,,,,,,,,
kkNCSC,DD09,0.000000169,,,,,,,,,,,,
kkNCTN,DD09,0.000000169,,,,,,,,,,,,
kkNCVA,DD09,0.000000169,,,,,,,,,,,,
kkNDSD,DD05,0.000000169,,,,,,,,,,,,
kkNESD,DD05,8.45E-08,,,,,,,,,,,,
kkNEWY,DD05,8.45E-08,,,,,,,,,,,,
kkNEWY,DD12,8.45E-08,,,,,,,,,,,,
kkNHVT,DD07,0.000000169,,,,,,,,,,,,
kkNJNY,DD03,8.45E-08,,,,,,,,,,,,
kkNJNY,DD06,8.45E-08,,,,,,,,,,,,
kkNJPA,DD03,0.000000169,,,,,,,,,,,,
kkNMTX,DD02,8.45E-08,,,,,,,,,,,,
kkNMTX,DD12,8.45E-08,,,,,,,,,,,,
kkNVOR,DD11,0.000000169,,,,,,,,,,,,
kkNVUT,DD11,0.000000169,,,,,,,,,,,,
kkNYPA,DD03,8.45E-08,,,,,,,,,,,,
kkNYPA,DD06,8.45E-08,,,,,,,,,,,,
kkNYVT,DD06,8.45E-08,,,,,,,,,,,,
kkNYVT,DD07,8.45E-08,,,,,,,,,,,,
kkOHPA,DD01,8.45E-08,,,,,,,,,,,,
kkOHPA,DD03,8.45E-08,,,,,,,,,,,,
kkOHWV,DD01,0.000000169,,,,,,,,,,,,
kkOKTX,DD02,8.45E-08,,,,,,,,,,,,
kkOKTX,DD10,8.45E-08,,,,,,,,,,,,
kkORWA,DD11,0.000000169,,,,,,,,,,,,
kkPAWV,DD01,8.45E-08,,,,,,,,,,,,
kkPAWV,DD03,8.45E-08,,,,,,,,,,,,
kkSDWY,DD05,8.45E-08,,,,,,,,,,,,
kkSDWY,DD12,8.45E-08,,,,,,,,,,,,
kkTNVA,DD09,0.000000169,,,,,,,,,,,,
kkUTWY,DD11,8.45E-08,,,,,,,,,,,,
kkUTWY,DD12,8.45E-08,,,,,,,,,,,,
kkVAWV,DD01,8.45E-08,,,,,,,,,,,,
kkVAWV,DD09,8.45E-08,,,,,,,,,,,,
kkFLAL,DD09,8.45E-08,,,,,,,,,,,,
kkFLAL,DD08,8.45E-08,,,,,,,,,,,,
kkGAAL,DD09,0.000000169,,,,,,,,,,,,
kkMSAL,DD09,0.000000169,,,,,,,,,,,,
kkTNAL,DD09,0.000000169,,,,,,,,,,,,
kkLAAR,DD10,0.000000169,,,,,,,,,,,,
kkMOAR,DD10,0.000000169,,,,,,,,,,,,
kkOKAR,DD10,0.000000169,,,,,,,,,,,,
kkTNAR,DD10,8.45E-08,,,,,,,,,,,,
kkTNAR,DD09,8.45E-08,,,,,,,,,,,,
kkTXAR,DD10,8.45E-08,,,,,,,,,,,,
kkTXAR,DD02,8.45E-08,,,,,,,,,,,,
kkCAAZ,DD13,8.45E-08,,,,,,,,,,,,
kkCAAZ,DD12,8.45E-08,,,,,,,,,,,,
kkNMAZ,DD12,0.000000169,,,,,,,,,,,,
kkNVAZ,DD12,8.45E-08,,,,,,,,,,,,
kkNVAZ,DD11,8.45E-08,,,,,,,,,,,,
kkUTAZ,DD12,8.45E-08,,,,,,,,,,,,
kkUTAZ,DD11,8.45E-08,,,,,,,,,,,,
kkNVCA,DD13,8.45E-08,,,,,,,,,,,,
kkNVCA,DD11,8.45E-08,,,,,,,,,,,,
kkORCA,DD13,8.45E-08,,,,,,,,,,,,
kkORCA,DD11,8.45E-08,,,,,,,,,,,,
kkKSCO,DD12,8.45E-08,,,,,,,,,,,,
kkKSCO,DD10,8.45E-08,,,,,,,,,,,,
kkNECO,DD12,8.45E-08,,,,,,,,,,,,
kkNECO,DD05,8.45E-08,,,,,,,,,,,,
kkNMCO,DD12,0.000000169,,,,,,,,,,,,
kkUTCO,DD12,8.45E-08,,,,,,,,,,,,
kkUTCO,DD11,8.45E-08,,,,,,,,,,,,
kkWYCO,DD12,0.000000169,,,,,,,,,,,,
kkMACT,DD07,0.000000169,,,,,,,,,,,,
kkNYCT,DD07,8.45E-08,,,,,,,,,,,,
kkNYCT,DD06,8.45E-08,,,,,,,,,,,,
kkRICT,DD07,0.000000169,,,,,,,,,,,,
kkMDDE,DD03,8.45E-08,,,,,,,,,,,,
kkMDDE,DD01,8.45E-08,,,,,,,,,,,,
